,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25326532434,1730315251749456193,Quần Dài Kẻ Sọc 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Phối Cạp Chun Trắng Ống Rộng Wide Striped Pants,210 301,Quàn QS02,,Sản phẩm lẻ,Quần dài thời trang,cotton kẻ chéo,404KE1_QTD042_,"404KE1_QTD042_DE
404KE1_QTD042_GH
404KE1_QTD042_XT",https://cf.shopee.vn/file/vn-11134207-7r98o-lz76s4bl4xb522,,Bán hết cắt mẫu,Team B,Dương + Khanh,Đ. Yến,Lan Hương,"Màu Đen
Màu Xám
Màu Xanh Navy ",,,,,"- Ống quần không quá rộng, quần dáng suông, phù hợp cho các bạn đi học, đi làm, đi coffee.
- Bản premium có pha cotton nên thấm hút mồ hôi tốt, mềm mại thoáng khí, thích hợp mặc từ mùa hè sang thu.
- Phần cạp trắng có dây rút là điểm nhấn, khiến cho sản phẩm này không quá nghiêm túc mà có sự năng động và có thể mặc đi vào các dịp khác ngoài đi học, đi làm tuỳ vào cách phối đồ.

",,,17,17,2,"Quần Dài Kẻ Sọc Phối Cạp Chun Trắng Ống Rộng Wide Striped Pants 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎
Quần Dài Kẻ Sọc 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Phối Cạp Chun Trắng Ống Rộng Wide Striped Pants",,,,,,,,,,,,https://shopee.vn/product/574105684/25326532434,https://www.tiktok.com/view/product/1730315251749456193?region=VN&locale=vi-VN,,,,,
29101940014,1730536151063103809,Quần Váy Ngắn 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Dáng Xoè Cạp Cao Phong Cách Âu Mỹ Cá Tính,170 251,quần váy xoè,,Sản phẩm lẻ, Quần váy,gió nhăn,406GI1_CQL067_,"406GI1_CQL067_TR
406GI1_CQL067_DE",https://cf.shopee.vn/file/vn-11134207-7ras8-md2ozqlichp867,,SP đang bán,Team B,Dương + Khanh,Thảo Ng,Lan Hương,"Trắng
Đen",,"size 1: <m65, <55kg
size 2: <m70, <60kg 
size 3: <m75, <65kg
(Khách hàng tham khảo thêm số đo mông để chọn size)",,,"- Quần váy dáng xòe lớp váy xòe bên ngoài tôn v3 
- Quần bên trong giúp không bị lộ nội y và mang tính thời trang",,,15,15,1,"Quần Váy Ngắn 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Dáng Xoè Cạp Cao Phong Cách Âu Mỹ Cá Tính
Quần Váy Ngắn 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Dáng Xoè Cạp Cao Phong Cách Âu Mỹ Cá Tính",,,,,,,,,,,,https://shopee.vn/product/574105684/29101940014,https://www.tiktok.com/view/product/1730536151063103809?region=VN&locale=vi-VN,,,,,
28806958970,1730992025747949889,Quần Dù Ống Loe Cạp Trễ Túi Hộp Phong Cách Cổ Điển Mỹ 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎,239 301,Quần Ống Loe Kaki,,Sản phẩm lẻ,Quần dài thời trang,gió ô ly ,408GI1_QTD057_,"408GI1_QTD057_BE
408GI1_QTD057_DE",https://cf.shopee.vn/file/vn-11134207-7ras8-md2r4cog87jz86,,Bán hết cắt mẫu,Team B,Dương + Khanh,Đ. Yến,Lan Hương,"Xám đậm
Be",,,,,"- Form ống loe tôn dáng, giúp che khuyết điểm bắp chân to, dáng quần lạ.
- Quần có túi hộp trẻ trung, năng động.
- Vài quần dù chống nước, cản gió.
- Vải gió ô ly mới lạ, ít xuất hiện trên thị trường.",,,20,20,1,https://drive.google.com/drive/folders/1zhlUYhAZ_Reo249ci9htAeKOPQZuJBmr?usp=drive_link,3SP 2D ,,,,,,,,,,,https://shopee.vn/product/574105684/28806958970,https://www.tiktok.com/view/product/1730992025747949889?region=VN&locale=vi-VN,,,,,
23052958069,1729672604593785153,Quần Short 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Sọc Vải Dù Phong Cách Thể Thao,130 200,Short dù 3 sọc,,Sản phẩm lẻ,Quần short ứng dụng,gió nhăn,309GI1_QTN005_,309GI1_QTN005_DE,https://cf.shopee.vn/file/vn-11134207-7r98o-lz77dzwb30p98f,,SP đang bán,Team B,Dương + Khanh,Thảo Ng,Lan Hương,Đen,,,,,"- Quần có dây rút ẩn bên trong
- Có cạp chun dễ điều chỉnh
- Logo thêu ở đùi
- Quần 3 sọc trắng nổi phong cách",,,15,15,1,https://drive.google.com/drive/u/2/folders/1fBXlOiy_rgD9_WSBp6SnLNkw0Wwkw7Ca,,,,,,,,,,,,https://shopee.vn/product/574105684/23052958069,https://www.tiktok.com/view/product/1729672604593785153?region=VN&locale=vi-VN,,,,,
26570204284,1731530406255364417,Quần Dài Nhung Tăm 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Unisex Ống Rộng Nam Nữ Có Dây Rút Thu Đông.,175 236,quần nhung tăm,,Sản phẩm lẻ,Quần dài thời trang,nhung tăm,412NU1_QTD071_,"412NU1_QTD071_DO
412NU1_QTD071_XA
412NU1_QTD071_GH
412NU1_QTD071_BE",https://cf.shopee.vn/file/vn-11134207-820l4-mjo0iuptsnphf6,,Bán hết cắt mẫu,Team B,Dương + Khanh,Thảo Ng,Lan Hương,"Đỏ
Xanh Coban
Xám
Kem ",,,,,"- Chất liệu nhung tăm giữ ấm, đứng form 
- Có dây rút tăng chỉnh eo",,,15,15,2,,"BYC 4 QUẦN 

BYC 7SP ",,,,,,,,,,,https://shopee.vn/product/574105684/26570204284,https://www.tiktok.com/view/product/1731530406255364417?region=VN&locale=vi-VN,,,,,
26913592052,1731274059157637441,Quần Nỉ Unisex 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Ống Rộng Sweatpants Basic Collection Nam Nữ,201 251,QN02,,Sản phẩm lẻ,Quần dài ứng dụng,nỉ 2 da,410NI1_QTD023_,"410NI1_QTD023_DE
410NI1_QTD023_GH
410NI1_QTD023_HO",https://cf.shopee.vn/file/vn-11134207-820l4-mfdk14heummi66,,SP đang bán,Team B,Dương + Khanh,Thảo Ng,Lan Hương,"Xám Tiêu
Đen
Hồng ",,"size 1: <m65, <55kg
size 2: <m70, <60kg 
size 3: <m75, <65kg",,,"- Quần form thụng, che được khuyết điểm phần bắp chân.
- Quần có màu xám tiêu, đen, hồng: cơ bản, basic, phù hợp nhiều lứa tuổi.
- Cạp quần có dây rút điều chỉnh cho phù hợp với vòng eo.
- Gấu quần có dây rút điều chỉnh.",,,15,15,1,https://drive.google.com/drive/u/2/folders/1GZvmfSnCnezfvyCzD4NXIKvs0I1nlLxC,BYC 5SP ,,,,,,,,,,,https://shopee.vn/product/574105684/26913592052,https://www.tiktok.com/view/product/1731274059157637441?region=VN&locale=vi-VN,,,,,
29803778375,1730572561276963137,Quần Short Lửng 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎  Kaki Wide Leg Túi Hộp Phối Dây Rút Đa Năng Dễ Vận Động Phong Cách Retro,205 267,Short Kaki Lửng,,Sản phẩm lẻ,Quần short thời trang,kaki,406KA1_QTN046_,"406KA1_QTN046_DE
406KA1_QTN046_BE",https://cf.shopee.vn/file/vn-11134207-7ras8-m0mfa5lyy83z17,,SP Không Tái,Team B,Dương + Khanh,Thảo Ng,Lan Hương,"Màu Đen
Màu Xám
Màu Xanh Rêu
Màu Kem",,,,,"- Quần có tổng 6 túi: 2 túi sườn, 2 túi hộp súp rộng, 2 túi ốp sau mông.
- Quần được thiết kế với phần ống rộng, hơi bo ở gấu, có 4 chiết gấu.
- Cạp quần có dây rút, con đỉa dễ dàng điều chỉnh độ rộng eo.
- Quần dáng lửng 3/4 cá tính.",,,17,17,1,"https://drive.google.com/drive/u/2/folders/1FUad1qkzYLKKsX4eV8anEgZstMn-2Q3u 

https://drive.google.com/drive/folders/1NJp4ec-_RRhUfWlTAcy2kAd0ee-TFGch?usp=drive_link",,,,,,,,,,,,https://shopee.vn/product/574105684/29803778375,https://www.tiktok.com/view/product/1730572561276963137?region=VN&locale=vi-VN,,,,,
25887612681,1731323986426825025,Áo Sweater Nỉ Lông Cáo Tom Tom 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Form Rộng Unisex Nam Nữ Phong Cách Âu Mỹ,169 219,,,Sản phẩm lẻ,Sweater,nỉ lông cáo,410NI1_ASWD060_,"410NI1_ASWD060_DO
410NI1_ASWD060_DE
410NI1_ASWD060_GH
410NI1_ASWD060_XT",https://cf.shopee.vn/file/vn-11134207-7ras8-m4ptaw7pr5b47d,,SP đang bán,Team B,Dương + Khanh,Đ. Yến,Mỹ Duyên,"Đen
Đỏ
Xám
Xanh than",,"size 1: <m65, <55kg
size 2: <m70, <60kg 
size 3: <m75, <65kg",,,"- Áo nỉ lông cáo dày dặn, giữ ấm tốt 
- Hình in dễ dương sắc nét",,,14,14,1,"https://drive.google.com/drive/u/2/folders/1OMN6koGV0d1HaYf98PDKG67CjcSf6dRn 

https://drive.google.com/drive/folders/1xM8fIMqGpm8ygIgUyBfrJUyILx0Mkjxx?usp=drive_link",,,,,,,,,,,,https://shopee.vn/product/574105684/25887612681,https://www.tiktok.com/view/product/1731323986426825025?region=VN&locale=vi-VN,,,,,
29175470044,1732222164181485889,"Áo Babytee Cổ Ôm ""Sleepy Cat"" 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 100% Cotton Dễ Thương Cho Nữ",120 151,Sleepy Cat,,Sản phẩm lẻ,Babytee,cotton 2 chiều,502CO1_ATN015_,"502CO1_ATN015_BE
502CO1_ATN015_XT
502CO1_ATN015_DE
502CO1_ATN015_DO",https://cf.shopee.vn/file/vn-11134207-7ra0g-m80d30q3vy9w70,,Bán hết cắt mẫu,Team B,Dương + Khanh,Thảo Ph,Lan Hương," Đen
Xanh Navy
Đỏ
Kem
Hồng",,,,,"- Chất liệu cotton mềm mại, thoáng mát, thấm hút mồ hôi 
- Hình thêu chỉn chu, chắc chắn",,,,,1,,,,,,,,,,,,,https://shopee.vn/product/574105684/29175470044,https://www.tiktok.com/view/product/1732222164181485889?region=VN&locale=vi-VN,,,,,
24789116089,1731784868118563137,Áo Khoác Kaki Form Rộng Cổ Lông Tay Nhún 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Phong Cách Retro.,484 557,Áo Khoác Cổ Lông,,Sản phẩm lẻ,Áo khoác khác,kaki chần bông quả trám,412KA2_AKHD072_,412KA2_AKHD072_NA,https://cf.shopee.vn/file/vn-11134207-820l4-mhmwxckg2zglaf,,SP đang bán,Team B,Dương + Khanh,Thảo Ph,Lan Hương,Nâu,,"size 1: <m65, <55kg
size 2: <m70, <60kg
size 3: <m75, <65kg",,,"- Màu ánh rêu khác nhau ở 2 bản thường và pre
- Áo phối cổ lông giữ ấm có thể tách rời linh hoạt 
- Tay áo có nhún mang tính thời trang và tạo độ phồng cho tay áo",,,20,20,2,,BYC 3SP 18.01 ,,,,,,,,,,,https://shopee.vn/product/574105684/24789116089,https://www.tiktok.com/view/product/1731784868118563137?region=VN&locale=vi-VN,,,,,
26568846822,1731627587055618369,Áo Sweater Nỉ Lông Cáo Tay Raglan Thêu Xù Form Rộng Không Xù Lông 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎,201 251,SW thêu xù,,Sản phẩm lẻ,Sweater,nỉ lông cáo,411NI1_ASWD074_,"411NI1_ASWD074_BE
411NI1_ASWD074_XT
411NI1_ASWD074_DO
411NI1_ASWD074_GH",https://cf.shopee.vn/file/vn-11134207-7ras8-m58gpuaimqwo72,,Bán hết cắt mẫu,Team B,Dương + Khanh,Thảo Ph,Lan Hương,"Xanh than
Kem
Xám
Đỏ",,"size 1: <m65, <55kg
size 2: <m70, <60kg
size 3: <m75, <65kg",,,"- Áo nỉ lông cáo dày dặn, giữ ấm
- Hình thêu chắc chắn, chỉn chu",,,14,14,1,chưa có,BYC 3SP 18.01  ,,,,,,,,,,,https://shopee.vn/product/574105684/26568846822,https://www.tiktok.com/view/product/1731627587055618369?region=VN&locale=vi-VN,,,,,
18283065977,1729695098158352705,Áo Babytee 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Trơn Nhiều Màu Thêu Logo Trái Tim BYC Mẫu Mới,139 169 259 309,thêu tim,,Sản phẩm lẻ,Babytee,cotton 2 chiều,308CO1_ABN004_,"308CO1_ABN004_BE
308CO1_ABN004_DE
308CO1_ABN004_XA
308CO1_ABN004_HO
308CO1_ABN004_TI",https://cf.shopee.vn/file/vn-11134207-81ztc-mk277seb6habae,,SP đang bán,Team B,Dương + Khanh,Thảo Ph,Lan Hương,"Màu Trắng 
Màu Kem Sáng 
Màu Xanh Dương 
Màu Tím 
Màu Hồng Đậm
Màu Đen",,"size 1: <m65, <55kg
size 2: <m70, <60kg
size 3: <m75, <65kg",,,"- Áo thun cộc tay kiểu dáng babytee, chiết eo nhẹ giúp tôn vòng  
- Điểm nhấn nằm ở logo thêu trước ngực được thay đổi theo màu áo, logo được thêu tỉ mỉ có thể sử dụng lâu dài, giặt máy không sợ bong tróc
- Phong cách tối giản phù hợp với nhiều lứa tuổi.",,,18,18,2,https://drive.google.com/drive/u/2/folders/1F18RSWBDcyooWK5PaItyujppTaSbbYDl,CAM CAM 15SP ,,,,,,,,,,,https://shopee.vn/product/574105684/18283065977,https://www.tiktok.com/view/product/1729695098158352705?region=VN&locale=vi-VN,,,,,
27661754716,1730918353397188929,Áo Khoác Kaki 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Cúc Kim Loại Cổ Đứng Basic.,301 380,Áo Khoác Kaki Cúc,,Sản phẩm lẻ,Áo khoác khác,kaki,409KA1_AKHD069_,"409KA1_AKHD069_BE
409KA1_AKHD069_DE",https://cf.shopee.vn/file/vn-11134207-820l4-mfw0f8aposnce1,,SP đang bán,Team B,Dương + Khanh,Đ. Yến,Lan Hương,"Be
Đen",,"size 1: <m65, <55kg
size 2: <m70, <60kg
size 3: <m75, <65kg",,,"- Áo khoác dài tay dáng rộng form unisex.
- Vải co dãn nhẹ.
- Có bo gấu tay và bo áo, nẹp che khóa giúp chắn gió, tạo được độ phồng cho áo.
- Có cúc kim loại ở nẹp áo và tay áo.",,,21,21,1,https://drive.google.com/drive/u/2/folders/17vxfgY6mUcofSQtm0KVhSRqc1c2QvqSw,PA. Ảnh sp 2D,,,,,,,,,,,https://shopee.vn/product/574105684/27661754716,https://www.tiktok.com/view/product/1730918353397188929?region=VN&locale=vi-VN,,,,,
44400431197,1731425399720412481,Áo Babytee 4 Chiều 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Mềm Mịn Thoáng Mát Co Dãn Tôn Dáng Cho Nữ,145 180,Simple cotton 4 chiều,,Our Beloved Summer,Babytee,cotton 4 chiều,504CO1_ABN021_,"504CO1_ABN021_TR
504CO1_ABN021_BE
504CO1_ABN021_DO
504CO1_ABN021_XT",https://cf.shopee.vn/file/vn-11134207-820l4-mef6utlslzpd1d,,SP đang bán,Team B,Dương + Khanh,Thảo Ph,Lan Hương," Kem
Trắng
Xanh Navy
Đỏ",,,,,"- Chất liệu cotton 4c mềm mại, co giãn, thoáng mát 
- Thiết kế cổ ôm bo tròn vừa vặn, thoải mái khi mặc
- Họa tiết thêu tỉ mỉ, chắc chắn, tinh tế",,,18,18,2,https://drive.google.com/drive/folders/1nOnfTwdlxFfJNMZb1SIquK4ZhD0kjYYE?usp=drive_link,,,,,,,,,,,,https://shopee.vn/product/574105684/44400431197,https://www.tiktok.com/view/product/1731425399720412481?region=VN&locale=vi-VN,,,,,
25341142575,1732043516669757761,Quần Dài Kẻ Sọc Kaki 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Ống Rộng Phối Dây Belt,251 320,Quần QS05,,Sản phẩm lẻ,Quần dài thời trang,kaki kẻ,502KA1_QTD014_,"502KA1_QTD014_TR
502KA1_QTD014_XA",https://cf.shopee.vn/file/vn-11134207-7ras8-mbcavqbg7r2936,,SP đang bán,Team D,Bình + Nghĩa,Thảo Ng,Mỹ Duyên," Sọc đen
Sọc xanh
Sọc trắng",,,,,"- Chất vải mềm mại, thoáng khí, tạo cảm giác dễ chịu 
- Quần dễ bảo quản, ít nhăn, có khả năng thấm hút mồ hôi",,,16,16,,chưa có,CAM CAM 15SP ,,,,,,,,,,,https://shopee.vn/product/574105684/25341142575,https://www.tiktok.com/view/product/1732043516669757761?region=VN&locale=vi-VN,,,,,
25092962854,1731568088845878593,Áo Thun Phối Ren Layer 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Form Ôm Tôn Dáng Dễ Phối Đồ Cho Nữ ABN030,120 151,áo thun phối ren,,Our Beloved Summer,Babytee,bozip cotton,504ZI1_ABN030_,"504ZI1_ABN030_TR
504ZI1_ABN030_XA",https://cf.shopee.vn/file/vn-11134207-7ras8-mdco6sark6gdff,,Bán hết cắt mẫu,Team B,Dương + Khanh,Đ. Yến,Lan Hương,"Trắn
Xanh Navy",,,,,"- Vải borip mềm mại, co giãn tốt ôm dáng 
- Áo phối ren tinh tế, cách điệu
- Cổ áo bo trọn vừa vặn, luôn giữ form 
- Thiết kế tay áo gọn gàng, hình thêu chỉn chu",,,,,1,Áo Thun Phối Ren Layer Reni Tee 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Form Ôm Tôn Dáng Dễ Phối Đồ Cho Nữ ABN030,1 ÁO REN ,,,,,,,,,,,https://shopee.vn/product/574105684/25092962854,https://www.tiktok.com/view/product/1731568088845878593?region=VN&locale=vi-VN,,,,,
28322973770,1731934759860209985,Áo Kiểu Nữ Phối Sơ Mi Caro 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Ngắn Tay Tôn Dáng Nữ Tính Hàn Quốc,169 229,Phối sơ mi cổ caro,,To Youth,Áo Kiểu,cotton 2 chiều x cổ caro,501CO1_AKN005_,"501CO1_AKN005_TR
501CO1_AKN005_XT",https://cf.shopee.vn/file/vn-11134207-7ras8-md2z913vfujg1b,,SP đang bán,Team B,Dương + Khanh,Đ. Yến,Lan Hương,"Trắng 
Xanh Than",,,,,"- Chất liệu cotton mềm mại, thấm hút mồ hôi 
- Phối cổ và tà áo kẻ caro mềm mại","- Vải poly, không nhăn","- Vải cotton, mềm mịn, thấm hút tốt",21,21,2,Áo Kiểu Nữ Phối Sơ Mi Caro 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Ngắn Tay Tôn Dáng Nữ Tính Hàn Quốc AKN005,"BYC ẢNH GHÉP LOGO 

CAM 12SP 30.08  ",,,,,,,,,,,https://shopee.vn/product/574105684/28322973770,https://www.tiktok.com/view/product/1731934759860209985?region=VN&locale=vi-VN,,,,,
26563600882,1731159478678030657,Áo Thun Boxy Collection 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Cotton Đứng Form Basic Collection Nam Nữ,144 175,thun collection,,Sản phẩm lẻ,Áo thun,cotton 2 chiều,410CO1_ATN013_,"410CO1_ATN013_TR
410CO1_ATN013_DE
410CO1_ATN013_DO
410CO1_ATN013_XT",https://cf.shopee.vn/file/vn-11134207-7ras8-m3mvcanfpkwxb9,,SP đang bán,Team B,Dương + Khanh,Thảo Ph,Lan Hương,"Đỏ
Đen
Trắng
Xanh Navy",,,,,"- Áo đứng form do được làm từ chất liệu cotton với định lượng vải 250gsm 
- Màu áo basic, đơn giản, dễ mặc, phù hợp với nhiều phong cách
- Áo có hình in phía trước và sau áo",,,16,16,2,,"BYC 3SP   

CAM 12SP 30.08 ",,,,,,,,,,,https://shopee.vn/product/574105684/26563600882,https://www.tiktok.com/view/product/1731159478678030657?region=VN&locale=vi-VN,,,,,
29763590484,1731276713002961217,Áo Baby Tee Cổ Ôm Basic Collection 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Logo Mini Cho Nữ,144 175,cổ ôm collection,,Sản phẩm lẻ,Babytee,cotton 2 chiều,410CO1_ABN045_,"410CO1_ABN045_BE
410CO1_ABN045_DE
410CO1_ABN045_DO
410CO1_ABN045_XT",https://cf.shopee.vn/file/vn-11134207-7ras8-m2xd6rbe9trk0f,,SP đang bán,Team B,Dương + Khanh,Thảo Ph,Lan Hương," Đen
Đỏ
Be
Xanh Navy",,,,,"- Chất liệu cotton mềm mại, thấm hút mồ hôi, đem lại cảm giác dễ chịu 
- Hình thêu basic chắc chắn, chỉn chu",,,16,16,1,Áo Baby Tee Cổ Ôm Basic Collection 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Logo Mini Cho Nữ,,,,,,,,,,,,https://shopee.vn/product/574105684/29763590484,https://www.tiktok.com/view/product/1731276713002961217?region=VN&locale=vi-VN,,,,,
26771608310,1731835033414830401,Áo Thun Babytee Cổ Ôm LOVE IN BLOOM Collection 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎,144 175,Bloom,,Sản phẩm lẻ,Babytee,cotton 2 chiều,412CO1_ABN027_,"412CO1_ABN027_BE
412CO1_ABN027_DE
412CO1_ABN027_DO
412CO1_ABN027_XT",https://cf.shopee.vn/file/vn-11134207-7ras8-mcagmx7n7poc71,,SP đang bán,Team B,Dương + Khanh,Thảo Ph,Lan Hương,"Đỏ
Đen
Be
Xanh Than",,,,,"- Chất liệu cotton mềm mại, thấm hút mồ hôi 
- Cổ ôm làm tôn lên vai trông thon mảnh hơn
- Hình in nổi kết hợp với hình thêu chỉn chu",,,18,18,2,Áo Thun Babytee Cổ Ôm LOVE IN BLOOM Collection 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎,CAM 12SP 30.08 ,,,,,,,,,,,https://shopee.vn/product/574105684/26771608310,https://www.tiktok.com/view/product/1731835033414830401?region=VN&locale=vi-VN,,,,,
29553033022,1730578298212682049,Áo Sơ Mi 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎  Form Fit Trơn Nhiều Màu Thoáng Khí Đứng Form Phong Cách Streetwear,160 201,Sơ Mi form fit,,Sản phẩm lẻ,Sơ mi,thô trơn,406CO1_AMN026_,"406CO1_AMN026_TR
406CO1_AMN026_VA
406CO1_AMN026_HO",https://cf.shopee.vn/file/vn-11134207-7ra0g-majc5578jkb0cd,,Bán hết cắt mẫu,Team B,Dương + Khanh,Đ. Yến,Lan Hương,"Trắng 
Vàng 
Hồng ",,,,,"- Áo dáng boxy chiết eo phong cách năng động, cá tính.
- Thiết kế lá cỏ tròn, túi nhỏ ở ngực tạo điểm nhấn.",,,,,2,Áo Sơ Mi Form Fit Trơn Nhiều Màu Đứng Form Phong Cách Streetwear 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎,,,,,,,,,,,,https://shopee.vn/product/574105684/29553033022,https://www.tiktok.com/view/product/1730578298212682049?region=VN&locale=vi-VN,,,,,
27287188107,1731584057095324993,[Our Beloved Summer Collection] Chân Váy Ngắn 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎  Xếp Tầng Có Dây Rút Dáng Xoè Cho Nữ CCL004,151 201,Váy xếp tầng dây rút,x,Our Beloved Summer,Chân váy,gió nhăn,504TH2_CCL004_,"504TH2_CCL004_BE
504TH2_CCL004_XT",https://cf.shopee.vn/file/vn-11134207-7ras8-mbd9f1eopgvn16,,Bán hết cắt mẫu,Team B,Dương + Khanh,Thảo Ng,Lan Hương,"Kem
Xanh Navy",,,,,"- Chân váy xếp tầng bồng bềnh tôn V3 
- Có dây rút dễ dàng tăng chỉnh ",,,cắt mẫu,cắt mẫu,1,chưa có,,,,,,,,,,,,https://shopee.vn/product/574105684/27287188107,https://www.tiktok.com/view/product/1731584057095324993?region=VN&locale=vi-VN,,,,,
41853784647,1731629647316616513,[Our Beloved Summer Collection] Set MIA Sơ Mi Dáng Rộng 2 Màu Cotton Cực Mát Thêu Logo Mini Màu Pastel Kèm Quần Shor,"Áo: 187 236
Quần: 107 148 
Set: 277 379",Set MIA,x,Our Beloved Summer,Set,thô kẻ,504KE1_SUDN025_,"504KE1_SUDN025_VA
504KE1_SUDN025_XA",https://cf.shopee.vn/file/vn-11134207-7ras8-mdeisfltk6r375,,Bán hết cắt mẫu,Team B,Dương + Khanh,Thảo Ng,Lan Hương,"Màu Vàng 
Màu Xanh",,,,,"- Chất liệu thô xốp thoáng mát, thấm  hút mồ hôi tốt 
- Form rộng dễ mặc, che khuyết điểm tốt",,,cắt mẫu,cắt mẫu,1,Set MIA Sơ Mi Dáng Rộng 2 Màu Cotton Cực Mát Thêu Logo Mini Màu Pastel Kèm Quần Short,,,,,,,,,,,,https://shopee.vn/product/574105684/41853784647,https://www.tiktok.com/view/product/1731629647316616513?region=VN&locale=vi-VN,,,,,
28607990433,1730291530585966913,Quần Vải Dù Xếp Ly 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Dáng Thụng 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎  Màu Mới Marine Collection.,180 260,Quần Xếp Ly,,Sản phẩm lẻ,Quần dài ứng dụng,gió,408GI1_QTD031_,,https://cf.shopee.vn/file/vn-11134207-7ras8-mdtua6uh35qd89,,SP đang bán,Team B,Dương + Khanh,Thảo Ng,Lan Hương,"vàng
xanh",,,,,"- Chất liệu dù đứng fom
- Dáng rộng trendy, năng động
- phối với babytee",,,15,15,2,Quần Vải Dù Ống Thụng Xếp Ly Form Wide Leg 2024 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎,CAM 12SP 30.08 ,,,,,,,,,,,https://shopee.vn/product/574105684/28607990433,https://www.tiktok.com/view/product/1730291530585966913?region=VN&locale=vi-VN,,,,,
28637766500,1731715571945276737,Quần Dài Striped Kaki Pants Ỗng Rộng Đứng Form Hàn Quốc 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎,251 320,Quần KaKi Ống Đứng,,Sản phẩm lẻ,Quần short thời trang,kaki kẻ,505KE1_QTD046_,"505KE1_QTD046_BE
",https://cf.shopee.vn/file/vn-11134207-7ras8-mcbro716trgyce,,Bán hết cắt mẫu,Team B,Dương + Khanh,Thảo Ng,Mỹ Duyên,Be,,,,,"- Màu kẻ vàng trendy 
- Quần ống cong hack dáng
- Quần dễ phối đồ, có thể mặc đi học, đi chơi, đi làm...",,,cắt mẫu,cắt mẫu,1,Quần Dài Striped Kaki Pants Ỗng Rộng Đứng Form Hàn Quốc 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 QDT046,CAM 2SP ,,,,,,,,,,,https://shopee.vn/product/574105684/28637766500,https://www.tiktok.com/view/product/1731715571945276737?region=VN&locale=vi-VN,,,,,
41755154694,1731714507762140481,Chân Váy Ngắn 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Form Bí Chấm Bi Dây Buộc Nơ Dễ Thương Kèm Quần Bảo Hộ - Vivi Skirt,189 251,Váy Bí Chấm Bi,x,Summer Diaries,Chân váy,thô chấm bi,505TH2_CCX217_,"505TH2_CCX217_TR
505TH2_CCX217_DE",https://cf.shopee.vn/file/vn-11134207-820l4-meh25bmkg00190,,Bán hết cắt mẫu,Team B,Dương + Khanh,Thảo Ph,Lan Hương,"Đen 
Trắng",,,,,"- Phong cách trẻ trung, trendy
- Phối với áo croptop hoặc babytee
- Họa tiết chấm bi bắt trend",,,20,20,1,,,,,,,,,,,,,https://shopee.vn/product/574105684/41755154694,https://www.tiktok.com/view/product/1731714507762140481?region=VN&locale=vi-VN,,,,,
